amazon-order-id,merchant-order-id,purchase-date,last-updated-date,order-status,fulfillment-channel,sales-channel,order-channel,url,ship-service-level,product-name,sku,asin,item-status,quantity,currency,item-price,item-tax,shipping-price,shipping-tax,gift-wrap-price,gift-wrap-tax,item-promotion-discount,ship-promotion-discount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,is-business-order,purchase-order-number,price-designation,fulfilled-by,is-iba 
402-3307709-6171500,,2024-04-21T08:34:43+00:00,2024-04-21T14:59:24+00:00,Cancelled,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,PRO Coin Pouch with Zipper for Multipurpose Usage for Adults and Kids (Black),CP002,B0D1TJS1CS,,0,INR,253.39,45.61,,,,,,,Nimta,WEST BENGAL,700049,IN,,FALSE,,,Easy Ship,FALSE
402-2913418-7912363,,2024-04-21T08:32:51+00:00,2024-04-21T08:35:01+00:00,Cancelled,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,PRO Coin Pouch with Zipper for Multipurpose Usage for Adults and Kids (Mist Grey),CP008,B0D1V4GV3H,,0,,,,,,,,,,Nimta,WEST BENGAL,700049,IN,,FALSE,,,Easy Ship,FALSE
403-2441478-8096315,403-2441478-8096315,2024-04-21T06:12:27+00:00,2024-04-22T06:07:34+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"CarryPro MOJO V2.0 (Space Grey), Everyday Backpack (Fits Laptop Up to 15.6 inch), Ultra Lightweight Backpack for Women and Men,365 Days Warranty, Made",V2MJ3_FBA,B0CTWWK68W,Shipped,1,INR,2199,,,,,,,,NEW DELHI,DELHI,110068,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,FALSE,,,,FALSE
171-7371576-5700338,171-7371576-5700338,2024-04-21T05:30:16+00:00,2024-04-22T10:05:43+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"CarryPro HOBO40(Olive Green), Functional Travel Backpack (Fits Laptop Up to 15.6 inch),Water Resistant Fabric,Travel Backpack for Women and Men(Rain C",H4004_FBA,B0C1T1JLSQ,Shipped,1,INR,3533,,,,,,,,COIMBATORE,TAMIL NADU,641004,IN,,FALSE,,,,FALSE
402-4861757-9172319,402-4861757-9172319,2024-04-21T04:20:42+00:00,2024-04-21T04:21:11+00:00,Cancelled,Amazon,Amazon.in,,,Expedited,"CarryPro HOBO40(Black), Functional Travel Backpack (Fits Laptop Up to 15.6 inch),Water Resistant Fabric,Travel Backpack for Women and Men(Rain Cover &",H4002_FBA,B0BN33W9RJ,Cancelled,0,,,,,,,,,,INDORE,MADHYA PRADESH,452003,IN,,FALSE,,,,FALSE
171-6015403-7048334,,2024-04-20T19:41:44+00:00,2024-04-21T02:35:08+00:00,Cancelled,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,PRO Coin Pouch with Zipper for Multipurpose Usage for Adults and Kids (Olive Green),CP006,B0D1TF1ZCC,,0,INR,253.39,45.61,,,,,,,KAYAMKULAM,KERALA,690572,IN,,FALSE,,,Easy Ship,FALSE
402-7667818-3801127,402-7667818-3801127,2024-04-20T18:29:19+00:00,2024-04-21T07:22:23+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"CarryPro HOBO25 V3.0 (Black), Everyday Workation Laptop Backpack(16 inch), Removable CAMERA BOX, Roll-Top Zipper, Backpack for Men and Women(Rain Cove",H2502_FBA,B0BKPLGCR6,Shipped,1,INR,3719,,,,,,,,NEW TOWN,WEST BENGAL,700156,IN,,FALSE,,,,FALSE
403-0647352-0501161,403-0647352-0501161,2024-04-20T18:27:01+00:00,2024-04-21T10:39:29+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"CarryPro HOBO40(Black), Functional Travel Backpack (Fits Laptop Up to 15.6 inch),Water Resistant Fabric,Travel Backpack for Women and Men(Rain Cover &",H4002_FBA,B0BN33W9RJ,Shipped,1,INR,3533,,,,,,,,BARABANKI,UTTAR PRADESH,225001,IN,,FALSE,,,,FALSE
406-9531501-8388306,406-9531501-8388306,2024-04-20T18:06:34+00:00,2024-04-21T14:41:03+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"CarryPro MOJO V2.0 (Mist Grey), Everyday Backpack (Fits Laptop Up to 15.6 inch), Ultra Lightweight Backpack for Women and Men,365 Days Warranty, Made",V2MJ8_FBA,B0CTWVM9FV,Shipped,1,INR,2199,,40,,,,,40,BENGALURU,KARNATAKA,560068,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,FALSE,,,,FALSE
402-6781646-4717949,402-6781646-4717949,2024-04-20T17:32:23+00:00,2024-04-21T06:58:44+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"CarryPro HOBO25 V3.0 (Olive Green), Everyday Workation Laptop Backpack(16 inch), Removable CAMERA BOX, Roll-Top Zipper, Backpack for Men and Women(Rai",H2504_FBA,B0BJXNT8V6,Shipped,1,INR,3719,,40,,,,,40,HOWRAH,WEST BENGAL,711106,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,FALSE,,,,FALSE
